PART_ID,TRIAL,TRAINING,PATTERN,CORRECT,LATENCY
6868M,1,1,2,1,2.080570699999953
6868M,2,1,2,1,1.5332877000000735
6868M,3,1,1,1,0.8384101000001465
6868M,4,1,1,1,0.8655578999996578
6868M,5,1,2,1,1.3236681999997018
6868M,6,1,2,1,1.2738016000002972
6868M,7,1,3,1,1.431237499999952
6868M,8,1,1,1,1.2676005000002988
6868M,9,1,2,1,1.2196626000004471
6868M,10,1,1,1,1.3723820999994132
6868M,1,0,3,1,3.4398528000001534
6868M,2,0,2,1,1.27642939999987
6868M,3,0,1,1,1.3675418000002537
6868M,4,0,2,1,1.5035751000004893
6868M,5,0,3,1,2.0845313999998325
6868M,6,0,2,1,1.4650513000005958
6868M,7,0,3,1,1.6164545000001453
6868M,8,0,3,0,1.6277219000003242
6868M,9,0,2,1,1.336855999999898
6868M,10,0,1,1,2.041374800000085
6868M,11,0,3,1,1.4702766999998858
6868M,12,0,1,1,1.3716215000004013
6868M,13,0,3,1,1.8369377999997596
6868M,14,0,1,1,2.1609316000003673
6868M,15,0,1,1,1.2305696999992506
6868M,1,0,2,1,3.5474739000001136
6868M,2,0,1,1,2.3598261999995884
6868M,3,0,2,1,3.5043962999998257
6868M,4,0,3,1,1.7187808999997287
6868M,5,0,1,1,1.651149300000725
6868M,6,0,2,1,2.1387267999998585
6868M,7,0,2,1,1.6810749999995096
6868M,8,0,3,-,-
6868M,9,0,3,1,1.8332417000001442
6868M,10,0,1,1,1.607008599999972
6868M,11,0,3,1,1.9181142999996155
6868M,12,0,1,1,1.725755399999798
6868M,13,0,3,1,1.6110459999999875
6868M,14,0,1,1,1.5739125000000058
6868M,15,0,2,1,1.6555144000003565
