PART_ID,TRIAL,TRAINING,PATTERN,CORRECT,LATENCY
p ,1,1,0,1,0.41062089998740703
p ,2,1,0,1,0.3503600000112783
p ,3,1,0,0,0.4028132999956142
p ,4,1,0,1,0.4653985000040848
p ,5,1,0,0,0.2455411999981152
p ,6,1,0,0,0.24899160000495613
p ,1,0,0,0,0.532395300004282
p ,2,0,0,1,0.5384685000026366
p ,3,0,0,1,0.32549899999867193
p ,4,0,0,1,0.22281360000488348
p ,5,0,0,1,0.5381398999888916
p ,6,0,0,1,0.591048199989018
p ,1,0,0,1,0.7926983000070322
p ,2,0,0,1,0.6501601000054507
p ,3,0,0,1,0.6188981000013882
p ,4,0,0,1,0.6316586999892024
p ,5,0,0,1,0.6597123999963515
p ,6,0,0,1,0.3771324999979697
