PART_ID,TRIAL,CONTROL,PATTERN,CORRECT,LATENCY
podejscie10,1,1,4,1,0.3479546000016853
podejscie10,2,1,0,1,0.2840305999998236
podejscie10,3,1,4,1,0.3128067999932682
podejscie10,4,1,4,1,0.25506949999544304
podejscie10,5,1,4,1,0.2788728000014089
podejscie10,6,1,0,1,0.3295235999976285
podejscie10,7,1,0,1,0.32791190000716597
podejscie10,8,1,4,1,0.2797442000010051
podejscie10,9,1,4,1,0.28766029998951126
podejscie10,10,1,4,1,0.3427337000030093
podejscie10,11,1,0,1,0.3480321999959415
podejscie10,12,1,0,1,0.3195221999922069
podejscie10,13,1,0,1,0.4103173000039533
podejscie10,14,1,4,1,0.34906259999843314
podejscie10,15,1,0,1,0.29382940000505187
podejscie10,16,1,0,1,0.357272399996873
podejscie10,17,1,0,1,0.374579299998004
podejscie10,18,1,4,1,0.5046596999891335
podejscie10,19,1,0,1,0.32104350000736304
podejscie10,20,1,4,1,0.30025620000378694
podejscie10,21,1,4,1,0.4246590999973705
podejscie10,22,1,0,1,0.3366187999927206
podejscie10,23,1,4,1,0.2501439999905415
podejscie10,24,1,0,1,0.3416015000111656
